Statistic,Quarter,Area of Residence,UNIT,VALUE
Births Registered,2011Q1,Meath,Number,925
Births Registered,2011Q1,Offaly,Number,302
Births Registered,2011Q1,Westmeath,Number,397
Births Registered,2011Q1,Wexford,Number,618
Births Registered,2011Q1,Munster,Number,5133
Births Registered,2011Q1,Waterford County,Number,275
Births Registered,2011Q1,Waterford City,Number,204
Births Registered,2011Q1,Clare,Number,455
Births Registered,2011Q1,Cork City,Number,444
Births Registered,2011Q1,Cork County,Number,1812
Births Registered,2011Q1,Kerry,Number,546
Births Registered,2011Q1,Limerick City,Number,231
Births Registered,2011Q1,Limerick County,Number,609
Births Registered,2011Q1,North Tipperary,Number,280
Births Registered,2011Q1,South Tipperary,Number,277
Births Registered,2011Q1,Tipperary,Number,
Births Registered,2011Q1,Connacht,Number,2070
Births Registered,2011Q1,Galway City,Number,282
Births Registered,2011Q1,Leitrim,Number,122
Births Registered,2011Q1,Mayo,Number,469
Births Registered,2011Q1,Roscommon,Number,253
Births Registered,2011Q1,Sligo,Number,236
Births Registered,2011Q1,Galway County,Number,708
Births Registered,2011Q1,Ulster (pt),Number,1138
Births Registered,2011Q1,Cavan,Number,312
Births Registered,2011Q1,Donegal,Number,589
Births Registered,2011Q1,Monaghan,Number,237
Births Registered,2011Q1,Outside the State,Number,
Births Registered,2011Q2,State,Number,18381
Births Registered,2011Q2,Dublin City,Number,1972
Births Registered,2011Q2,Fingal,Number,1329
Births Registered,2011Q2,Dun Laoghaire Rathdown,Number,714
Births Registered,2011Q2,South Dublin,Number,1170
Births Registered,2011Q2,Leinster,Number,10530
Births Registered,2011Q2,Wicklow,Number,572
Births Registered,2011Q2,Carlow,Number,263
Births Registered,2011Q2,Kildare,Number,1000
Births Registered,2011Q2,Kilkenny,Number,339
Births Registered,2011Q2,Laois,Number,351
Births Registered,2011Q2,Longford,Number,176
Births Registered,2011Q2,Louth,Number,484
Births Registered,2011Q2,Meath,Number,912
Births Registered,2011Q2,Offaly,Number,314
Births Registered,2011Q2,Westmeath,Number,354
Births Registered,2011Q2,Wexford,Number,580
Births Registered,2011Q2,Munster,Number,4657
Births Registered,2011Q2,Waterford County,Number,216
Births Registered,2011Q2,Waterford City,Number,210
Births Registered,2011Q2,Clare,Number,405
Births Registered,2011Q2,Cork City,Number,363
Births Registered,2011Q2,Cork County,Number,1677
Births Registered,2011Q2,Kerry,Number,493
Births Registered,2011Q2,Limerick City,Number,172
Births Registered,2011Q2,Limerick County,Number,532
Births Registered,2011Q2,North Tipperary,Number,271
Births Registered,2011Q2,South Tipperary,Number,318
