"Statistic","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2014","Waterford","Female","Euro","534.8"
"Mean Weekly Earnings","2014","Galway","Both sexes","Euro","653.64"
"Mean Weekly Earnings","2014","Galway","Male","Euro","730.71"
"Mean Weekly Earnings","2014","Galway","Female","Euro","585.62"
"Mean Weekly Earnings","2014","Leitrim","Both sexes","Euro","590.04"
"Mean Weekly Earnings","2014","Leitrim","Male","Euro","641.4"
"Mean Weekly Earnings","2014","Leitrim","Female","Euro","547.93"
"Mean Weekly Earnings","2014","Mayo","Both sexes","Euro","589.08"
"Mean Weekly Earnings","2014","Mayo","Male","Euro","653.77"
"Mean Weekly Earnings","2014","Mayo","Female","Euro","531.63"
"Mean Weekly Earnings","2014","Roscommon","Both sexes","Euro","612.97"
"Mean Weekly Earnings","2014","Roscommon","Male","Euro","676.87"
"Mean Weekly Earnings","2014","Roscommon","Female","Euro","557.62"
"Mean Weekly Earnings","2014","Sligo","Both sexes","Euro","624.28"
"Mean Weekly Earnings","2014","Sligo","Male","Euro","691.69"
"Mean Weekly Earnings","2014","Sligo","Female","Euro","567.6"
"Mean Weekly Earnings","2014","Cavan","Both sexes","Euro","591.72"
"Mean Weekly Earnings","2014","Cavan","Male","Euro","657.2"
"Mean Weekly Earnings","2014","Cavan","Female","Euro","530.42"
"Mean Weekly Earnings","2014","Donegal","Both sexes","Euro","529.1"
"Mean Weekly Earnings","2014","Donegal","Male","Euro","572.49"
"Mean Weekly Earnings","2014","Donegal","Female","Euro","491.08"
"Mean Weekly Earnings","2014","Monaghan","Both sexes","Euro","550.75"
"Mean Weekly Earnings","2014","Monaghan","Male","Euro","589.51"
"Mean Weekly Earnings","2014","Monaghan","Female","Euro","513.72"
"Mean Weekly Earnings","2015","All counties (1)","Both sexes","Euro","686.71"
"Mean Weekly Earnings","2015","All counties (1)","Male","Euro","784.98"
"Mean Weekly Earnings","2015","All counties (1)","Female","Euro","591.78"
"Mean Weekly Earnings","2015","Carlow","Both sexes","Euro","598.81"
"Mean Weekly Earnings","2015","Carlow","Male","Euro","665.98"
"Mean Weekly Earnings","2015","Carlow","Female","Euro","531.67"
"Mean Weekly Earnings","2015","Dublin","Both sexes","Euro","773.55"
"Mean Weekly Earnings","2015","Dublin","Male","Euro","885.46"
"Mean Weekly Earnings","2015","Dublin","Female","Euro","660.16"
"Mean Weekly Earnings","2015","Kildare","Both sexes","Euro","731.82"
"Mean Weekly Earnings","2015","Kildare","Male","Euro","847.51"
"Mean Weekly Earnings","2015","Kildare","Female","Euro","611.59"
"Mean Weekly Earnings","2015","Kilkenny","Both sexes","Euro","637.52"
"Mean Weekly Earnings","2015","Kilkenny","Male","Euro","716.33"
"Mean Weekly Earnings","2015","Kilkenny","Female","Euro","569.21"
"Mean Weekly Earnings","2015","Laois","Both sexes","Euro","643.26"
"Mean Weekly Earnings","2015","Laois","Male","Euro","722.08"
"Mean Weekly Earnings","2015","Laois","Female","Euro","568.38"
"Mean Weekly Earnings","2015","Longford","Both sexes","Euro","596.04"
"Mean Weekly Earnings","2015","Longford","Male","Euro","650.14"
"Mean Weekly Earnings","2015","Longford","Female","Euro","544.37"
"Mean Weekly Earnings","2015","Louth","Both sexes","Euro","629.74"
"Mean Weekly Earnings","2015","Louth","Male","Euro","709.6"
"Mean Weekly Earnings","2015","Louth","Female","Euro","550.1"
"Mean Weekly Earnings","2015","Meath","Both sexes","Euro","708.84"
"Mean Weekly Earnings","2015","Meath","Male","Euro","824.09"
"Mean Weekly Earnings","2015","Meath","Female","Euro","594.77"
"Mean Weekly Earnings","2015","Offaly","Both sexes","Euro","614.42"
